subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-16, trial71, 13, Orlando Bloom, ID13_IM04.bmp, (-300, 300), Ben Affleck, (300, 300), Ryan Reynolds, (-550, -100), Patrick Dempsey, (550, -100), Robert Downey Jr, (0, -400), Orlando Bloom, [-206.  331.], 1, 3.5102234000805765
sub-16, trial1, 08, Hugh Jackman, ID08_IM01.bmp, (550, -100), Matt Damon, (-300, 300), Justin Timberlake, (0, -400), Ryan Reynolds, (-550, -100), Robert Downey Jr, (300, 300), familiar face, [ 57. -93.], 1, 1.0715167000889778
sub-16, trial21, 07, George Clooney, ID07_IM01.bmp, (550, -100), Orlando Bloom, (0, -400), Ryan Reynolds, (300, 300), Patrick Dempsey, (-550, -100), Robert Downey Jr, (-300, 300), George Clooney, [411. -84.], 1, 1.089518699911423
sub-16, trial42, 05, Daniel Radcliffe, ID05_IM04.bmp, (-550, -100), Robert Downey Jr, (300, 300), Hugh Jackman, (-300, 300), Ben Stiller, (550, -100), Ryan Gosling, (0, -400), Daniel Radcliffe, [-543. -110.], 1, 2.4995973999612033
sub-16, trial12, 07, George Clooney, ID07_IM04.bmp, (-550, -100), Brad Pitt, (550, -100), Matt Damon, (0, -400), Daniel Craig, (-300, 300), Ben Stiller, (300, 300), George Clooney, [-486.  -99.], 1, 1.093938900041394
sub-16, trial57, 17, Ryan Gosling, ID17_IM01.bmp, (300, 300), Robert Downey Jr, (0, -400), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (-550, -100), Hugh Jackman, (550, -100), Ryan Reynolds, [-439.  -91.], 0, 1.5123616999480873
sub-16, trial26, 06, Elijah Wood, ID06_IM02.bmp, (-550, -100), Patrick Dempsey, (-300, 300), Robert Downey Jr, (0, -400), Hugh Jackman, (550, -100), Brad Pitt, (300, 300), familiar face, [-119.  -84.], 1, 2.234772099996917
sub-16, trial11, 02, Ben Stiller, ID02_IM03.bmp, (-550, -100), Hugh Jackman, (550, -100), Justin Timberlake, (300, 300), Matt Damon, (0, -400), Ryan Gosling, (-300, 300), familiar face, [ 41. -94.], 1, 3.630387800047174
sub-16, trial20, 06, Elijah Wood, ID06_IM03.bmp, (0, -400), Brad Pitt, (-550, -100), Robert Downey Jr, (550, -100), Ryan Reynolds, (-300, 300), Robert Pattinson, (300, 300), familiar face, [ 41. -93.], 1, 1.355596600100398
sub-16, trial38, 09, Justin Timberlake, ID09_IM02.bmp, (300, 300), Ryan Gosling, (-300, 300), Elijah Wood, (0, -400), Robert Downey Jr, (550, -100), Matt Damon, (-550, -100), Justin Timberlake, [259. 316.], 1, 1.4587776000844315
sub-16, trial40, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Justin Timberlake, (550, -100), George Clooney, (300, 300), Ben Affleck, (-300, 300), Patrick Dempsey, (0, -400), Robert Downey Jr, [-398.  -71.], 1, 2.854875500081107
sub-16, trial69, 17, Ryan Gosling, ID17_IM02.bmp, (300, 300), George Clooney, (0, -400), Ben Stiller, (550, -100), Elijah Wood, (-300, 300), Leonardo DiCaprio, (-550, -100), Ryan Gosling, [191. 302.], 1, 4.146237499895506
sub-16, trial37, 08, Hugh Jackman, ID08_IM04.bmp, (-300, 300), Keanu Reeves, (-550, -100), Patrick Dempsey, (550, -100), Daniel Craig, (300, 300), Ben Stiller, (0, -400), familiar face, [ 37. -97.], 1, 5.738184900023043
sub-16, trial17, 01, Ben Affleck, ID01_IM03.bmp, (0, -400), Keanu Reeves, (300, 300), Justin Timberlake, (-550, -100), Brad Pitt, (550, -100), Elijah Wood, (-300, 300), familiar face, [  36. -105.], 1, 0.8429039000766352
sub-16, trial49, 14, Patrick Dempsey, ID14_IM03.bmp, (550, -100), Ben Stiller, (-300, 300), Brad Pitt, (-550, -100), Orlando Bloom, (0, -400), Justin Timberlake, (300, 300), Patrick Dempsey, [431. -79.], 1, 1.3909949999069795
sub-16, trial10, 02, Ben Stiller, ID02_IM01.bmp, (0, -400), Ryan Gosling, (-550, -100), Matt Damon, (550, -100), Robert Pattinson, (-300, 300), Justin Timberlake, (300, 300), familiar face, [ -4. -99.], 1, 3.741838000016287
sub-16, trial18, 02, Ben Stiller, ID02_IM04.bmp, (0, -400), Patrick Dempsey, (-300, 300), Keanu Reeves, (-550, -100), Daniel Radcliffe, (550, -100), Orlando Bloom, (300, 300), familiar face, [   4. -102.], 1, 0.6618222000543028
sub-16, trial2, 16, Robert Pattinson, ID16_IM03.bmp, (550, -100), George Clooney, (0, -400), Brad Pitt, (-550, -100), Ben Stiller, (300, 300), Patrick Dempsey, (-300, 300), Robert Pattinson, [433. -58.], 1, 1.9768852000124753
sub-16, trial16, 12, Matt Damon, ID12_IM02.bmp, (-550, -100), George Clooney, (550, -100), Leonardo DiCaprio, (300, 300), Orlando Bloom, (0, -400), Elijah Wood, (-300, 300), familiar face, [ 85. -72.], 1, 1.152103199972771
sub-16, trial46, 12, Matt Damon, ID12_IM03.bmp, (-550, -100), Elijah Wood, (0, -400), Brad Pitt, (-300, 300), Daniel Craig, (550, -100), Orlando Bloom, (300, 300), familiar face, [  62. -103.], 1, 0.6156506000552326
sub-16, trial25, 07, George Clooney, ID07_IM03.bmp, (-550, -100), Daniel Craig, (0, -400), Daniel Radcliffe, (300, 300), Ryan Reynolds, (550, -100), Matt Damon, (-300, 300), George Clooney, [-525.  -91.], 1, 0.8767051000613719
sub-16, trial53, 01, Ben Affleck, ID01_IM04.bmp, (300, 300), Matt Damon, (0, -400), Orlando Bloom, (-550, -100), Elijah Wood, (-300, 300), Keanu Reeves, (550, -100), familiar face, [-135.  -88.], 1, 0.9356642999919131
sub-16, trial54, 02, Ben Stiller, ID02_IM02.bmp, (300, 300), Daniel Radcliffe, (550, -100), Justin Timberlake, (-550, -100), Ryan Reynolds, (-300, 300), Leonardo DiCaprio, (0, -400), familiar face, [ -94. -102.], 1, 1.1920670999679714
sub-16, trial7, 03, Brad Pitt, ID03_IM01.bmp, (550, -100), Robert Pattinson, (-300, 300), Orlando Bloom, (-550, -100), Hugh Jackman, (0, -400), George Clooney, (300, 300), Brad Pitt, [ 412. -113.], 1, 2.1421618999447674
sub-16, trial50, 15, Robert Downey Jr, ID15_IM04.bmp, (-300, 300), Leonardo DiCaprio, (-550, -100), Daniel Radcliffe, (0, -400), Brad Pitt, (550, -100), George Clooney, (300, 300), Robert Downey Jr, [-188.  310.], 1, 3.054394799983129
sub-16, trial23, 04, Daniel Craig, ID04_IM03.bmp, (0, -400), Keanu Reeves, (550, -100), Robert Downey Jr, (-550, -100), Ryan Gosling, (-300, 300), Hugh Jackman, (300, 300), Keanu Reeves, [ 497. -124.], 0, 5.946044399985112
sub-16, trial61, 03, Brad Pitt, ID03_IM04.bmp, (550, -100), Elijah Wood, (-550, -100), Robert Downey Jr, (0, -400), Daniel Craig, (300, 300), Ryan Gosling, (-300, 300), Brad Pitt, [ 460. -105.], 1, 4.5013877999736
sub-16, trial59, 14, Patrick Dempsey, ID14_IM04.bmp, (0, -400), Robert Pattinson, (-300, 300), Justin Timberlake, (300, 300), Brad Pitt, (550, -100), Ryan Reynolds, (-550, -100), Patrick Dempsey, [ 103. -360.], 1, 2.028088300023228
