subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-05, trial49, 11, Leonardo DiCaprio, ID11_IM02.bmp, (300, 300), George Clooney, (550, -100), Ben Stiller, (-550, -100), Matt Damon, (-300, 300), Hugh Jackman, (0, -400), Leonardo DiCaprio, [181. 301.], 1, 0.8576426000799984
sub-05, trial15, 06, Elijah Wood, ID06_IM03.bmp, (300, 300), Ryan Reynolds, (-550, -100), Patrick Dempsey, (0, -400), Keanu Reeves, (-300, 300), Orlando Bloom, (550, -100), Elijah Wood, [189. 312.], 1, 0.7565667000599205
sub-05, trial45, 09, Justin Timberlake, ID09_IM02.bmp, (-550, -100), Brad Pitt, (-300, 300), Keanu Reeves, (300, 300), Hugh Jackman, (0, -400), Daniel Radcliffe, (550, -100), Justin Timberlake, [-398.  -74.], 1, 1.29998610005714
sub-05, trial37, 01, Ben Affleck, ID01_IM02.bmp, (-550, -100), Ryan Reynolds, (-300, 300), Keanu Reeves, (300, 300), Orlando Bloom, (550, -100), Ben Stiller, (0, -400), Ben Affleck, [-419.  -88.], 1, 2.405258399900049
sub-05, trial19, 16, Robert Pattinson, ID16_IM02.bmp, (300, 300), George Clooney, (550, -100), Orlando Bloom, (-550, -100), Ryan Gosling, (-300, 300), Ben Affleck, (0, -400), Robert Pattinson, [218. 309.], 1, 1.3708299999125302
sub-05, trial42, 12, Matt Damon, ID12_IM04.bmp, (550, -100), Ben Affleck, (300, 300), Ryan Reynolds, (0, -400), Elijah Wood, (-300, 300), Leonardo DiCaprio, (-550, -100), Matt Damon, [476. -85.], 1, 2.4903214001096785
sub-05, trial71, 11, Leonardo DiCaprio, ID11_IM04.bmp, (550, -100), Daniel Radcliffe, (-300, 300), Brad Pitt, (-550, -100), Patrick Dempsey, (300, 300), Robert Downey Jr, (0, -400), Leonardo DiCaprio, [460. -65.], 1, 1.3880385998636484
sub-05, trial30, 07, George Clooney, ID07_IM03.bmp, (550, -100), Ben Affleck, (-300, 300), Justin Timberlake, (300, 300), Daniel Radcliffe, (-550, -100), Keanu Reeves, (0, -400), George Clooney, [505. -67.], 1, 2.226682199863717
sub-05, trial44, 03, Brad Pitt, ID03_IM03.bmp, (-300, 300), Patrick Dempsey, (0, -400), Ben Affleck, (300, 300), Keanu Reeves, (-550, -100), Matt Damon, (550, -100), Brad Pitt, [-260.  273.], 1, 1.695987100014463
sub-05, trial41, 01, Ben Affleck, ID01_IM04.bmp, (550, -100), Leonardo DiCaprio, (300, 300), Robert Downey Jr, (0, -400), Robert Pattinson, (-300, 300), Matt Damon, (-550, -100), Ben Affleck, [ 408. -118.], 1, 3.9383549001067877
sub-05, trial21, 16, Robert Pattinson, ID16_IM04.bmp, (300, 300), Matt Damon, (550, -100), Robert Downey Jr, (-550, -100), Ben Stiller, (0, -400), Daniel Radcliffe, (-300, 300), Robert Pattinson, [204. 278.], 1, 0.8581823999993503
sub-05, trial28, 05, Daniel Radcliffe, ID05_IM01.bmp, (-550, -100), Brad Pitt, (300, 300), Orlando Bloom, (0, -400), Daniel Craig, (-300, 300), Elijah Wood, (550, -100), Daniel Radcliffe, [-407.  -73.], 1, 0.7655710000544786
sub-05, trial60, 04, Daniel Craig, ID04_IM04.bmp, (0, -400), Robert Pattinson, (300, 300), Patrick Dempsey, (-300, 300), Elijah Wood, (-550, -100), Justin Timberlake, (550, -100), Daniel Craig, [ -21. -359.], 1, 1.420513499993831
