subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-21, trial5, 03, Brad Pitt, ID03_IM04.bmp, (0, -400), Ben Stiller, (-550, -100), Orlando Bloom, (300, 300), Ryan Gosling, (-300, 300), Leonardo DiCaprio, (550, -100), Brad Pitt, [  37. -394.], 1, 2.27612919989042
sub-21, trial34, 06, Elijah Wood, ID06_IM01.bmp, (300, 300), Ben Affleck, (-300, 300), Matt Damon, (550, -100), George Clooney, (-550, -100), Ben Stiller, (0, -400), familiar face, [  21. -126.], 1, 0.6712825999129564
sub-21, trial32, 14, Patrick Dempsey, ID14_IM01.bmp, (550, -100), Matt Damon, (-550, -100), Hugh Jackman, (-300, 300), Ben Stiller, (0, -400), Keanu Reeves, (300, 300), familiar face, [  18. -123.], 1, 0.8423108998686075
sub-21, trial13, 07, George Clooney, ID07_IM01.bmp, (-550, -100), Keanu Reeves, (-300, 300), Robert Downey Jr, (300, 300), Justin Timberlake, (0, -400), Ben Affleck, (550, -100), George Clooney, [-424.  -92.], 1, 0.9178983001038432
sub-21, trial23, 04, Daniel Craig, ID04_IM02.bmp, (550, -100), George Clooney, (-550, -100), Keanu Reeves, (300, 300), Justin Timberlake, (0, -400), Robert Pattinson, (-300, 300), familiar face, [ -45. -148.], 1, 0.9511764000635594
sub-21, trial24, 04, Daniel Craig, ID04_IM01.bmp, (-550, -100), Orlando Bloom, (0, -400), Keanu Reeves, (550, -100), Ben Affleck, (300, 300), Matt Damon, (-300, 300), familiar face, [ -45. -146.], 1, 0.49554599984548986
sub-21, trial68, 17, Ryan Gosling, ID17_IM02.bmp, (0, -400), Robert Pattinson, (550, -100), Elijah Wood, (-550, -100), Leonardo DiCaprio, (300, 300), Orlando Bloom, (-300, 300), Ryan Gosling, [  21. -406.], 1, 2.1774339999537915
sub-21, trial26, 15, Robert Downey Jr, ID15_IM03.bmp, (-550, -100), Robert Pattinson, (550, -100), Hugh Jackman, (0, -400), Daniel Craig, (-300, 300), Daniel Radcliffe, (300, 300), Robert Downey Jr, [-460.  -64.], 1, 4.840063099982217
sub-21, trial19, 05, Daniel Radcliffe, ID05_IM04.bmp, (-550, -100), Leonardo DiCaprio, (0, -400), Ben Stiller, (-300, 300), Patrick Dempsey, (550, -100), Justin Timberlake, (300, 300), Daniel Radcliffe, [-446.  -73.], 1, 2.3965615001507103
sub-21, trial3, 03, Brad Pitt, ID03_IM02.bmp, (300, 300), Elijah Wood, (0, -400), Robert Downey Jr, (550, -100), Daniel Craig, (-300, 300), Ben Affleck, (-550, -100), Brad Pitt, [205. 301.], 1, 1.8261342998594046
sub-21, trial41, 02, Ben Stiller, ID02_IM03.bmp, (-550, -100), Ryan Gosling, (300, 300), Daniel Radcliffe, (550, -100), Patrick Dempsey, (-300, 300), Orlando Bloom, (0, -400), familiar face, [ -55. -139.], 1, 0.6466693999245763
