subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-17, trial69, 07, George Clooney, ID07_IM01.bmp, (-300, 300), Ryan Gosling, (300, 300), Leonardo DiCaprio, (0, -400), Daniel Craig, (-550, -100), Ryan Reynolds, (550, -100), George Clooney, [-256.  303.], 1, 2.26671570003964
sub-17, trial38, 18, Ryan Reynolds, ID18_IM04.bmp, (0, -400), Ben Affleck, (-550, -100), George Clooney, (-300, 300), Leonardo DiCaprio, (300, 300), Daniel Craig, (550, -100), familiar face, [  24. -124.], 1, 1.566427499987185
sub-17, trial48, 08, Hugh Jackman, ID08_IM04.bmp, (-300, 300), Orlando Bloom, (0, -400), Daniel Craig, (300, 300), Robert Downey Jr, (-550, -100), Patrick Dempsey, (550, -100), idk, [24. 79.], 0, 0.5253382999217138
sub-17, trial44, 10, Keanu Reeves, ID10_IM03.bmp, (-550, -100), Ryan Reynolds, (550, -100), Daniel Craig, (300, 300), Matt Damon, (0, -400), Robert Downey Jr, (-300, 300), Keanu Reeves, [-466.  -84.], 1, 0.6454365999670699
sub-17, trial37, 14, Patrick Dempsey, ID14_IM01.bmp, (0, -400), George Clooney, (-300, 300), Robert Downey Jr, (-550, -100), Hugh Jackman, (300, 300), Orlando Bloom, (550, -100), familiar face, [  48. -107.], 1, 3.538446499966085
sub-17, trial58, 01, Ben Affleck, ID01_IM01.bmp, (-300, 300), Elijah Wood, (300, 300), Ben Stiller, (550, -100), Hugh Jackman, (0, -400), Daniel Radcliffe, (-550, -100), idk, [ 5. 64.], 0, 1.1141511000460014
sub-17, trial40, 07, George Clooney, ID07_IM03.bmp, (550, -100), Matt Damon, (-550, -100), Ryan Reynolds, (-300, 300), Robert Downey Jr, (0, -400), Ryan Gosling, (300, 300), George Clooney, [ 431. -113.], 1, 1.523934500059113
sub-17, trial42, 09, Justin Timberlake, ID09_IM03.bmp, (-550, -100), Elijah Wood, (0, -400), Patrick Dempsey, (300, 300), Matt Damon, (-300, 300), Hugh Jackman, (550, -100), idk, [11. 68.], 0, 3.0525171000044793
sub-17, trial18, 08, Hugh Jackman, ID08_IM03.bmp, (-300, 300), Elijah Wood, (0, -400), Ryan Reynolds, (550, -100), Orlando Bloom, (-550, -100), Robert Downey Jr, (300, 300), familiar face, [ -9. -89.], 1, 2.359383799950592
sub-17, trial22, 06, Elijah Wood, ID06_IM03.bmp, (550, -100), Matt Damon, (0, -400), Hugh Jackman, (300, 300), Ryan Gosling, (-550, -100), Ben Stiller, (-300, 300), familiar face, [ -9. -89.], 1, 2.5492119999835268
sub-17, trial35, 04, Daniel Craig, ID04_IM02.bmp, (-300, 300), Ryan Gosling, (300, 300), Hugh Jackman, (-550, -100), Daniel Radcliffe, (0, -400), George Clooney, (550, -100), Daniel Craig, [-211.  296.], 1, 1.5983483999734744
sub-17, trial10, 16, Robert Pattinson, ID16_IM04.bmp, (300, 300), Robert Downey Jr, (-550, -100), Ben Stiller, (550, -100), George Clooney, (-300, 300), Hugh Jackman, (0, -400), Robert Pattinson, [241. 277.], 1, 1.9235555999912322
sub-17, trial27, 12, Matt Damon, ID12_IM03.bmp, (0, -400), Daniel Radcliffe, (-550, -100), Patrick Dempsey, (-300, 300), Robert Pattinson, (550, -100), Leonardo DiCaprio, (300, 300), idk, [ 2. 66.], 0, 0.46042439993470907
sub-17, trial17, 13, Orlando Bloom, ID13_IM02.bmp, (-300, 300), Robert Downey Jr, (0, -400), Ryan Gosling, (550, -100), Matt Damon, (300, 300), Patrick Dempsey, (-550, -100), familiar face, [  29. -127.], 1, 1.5755708999931812
sub-17, trial70, 02, Ben Stiller, ID02_IM04.bmp, (0, -400), Elijah Wood, (550, -100), Daniel Radcliffe, (-550, -100), Ben Affleck, (300, 300), Leonardo DiCaprio, (-300, 300), familiar face, [  29. -125.], 1, 0.9022367000579834
sub-17, trial55, 11, Leonardo DiCaprio, ID11_IM01.bmp, (300, 300), Orlando Bloom, (-550, -100), Matt Damon, (-300, 300), Robert Downey Jr, (0, -400), Daniel Craig, (550, -100), Leonardo DiCaprio, [345. 300.], 1, 1.7198018999770284
sub-17, trial63, 16, Robert Pattinson, ID16_IM03.bmp, (-550, -100), Ryan Gosling, (0, -400), Brad Pitt, (550, -100), Hugh Jackman, (300, 300), Robert Downey Jr, (-300, 300), Robert Pattinson, [-464. -107.], 1, 1.3605749000562355
sub-17, trial24, 15, Robert Downey Jr, ID15_IM04.bmp, (-300, 300), Daniel Radcliffe, (300, 300), Ben Affleck, (550, -100), Brad Pitt, (-550, -100), Robert Pattinson, (0, -400), familiar face, [ -52. -120.], 1, 1.9373258999548852
sub-17, trial32, 06, Elijah Wood, ID06_IM02.bmp, (300, 300), Leonardo DiCaprio, (-300, 300), Brad Pitt, (0, -400), Daniel Craig, (-550, -100), Hugh Jackman, (550, -100), familiar face, [ -52. -120.], 1, 0.3994772000005469
sub-17, trial4, 04, Daniel Craig, ID04_IM03.bmp, (-550, -100), Elijah Wood, (300, 300), Ryan Gosling, (0, -400), Robert Downey Jr, (-300, 300), Keanu Reeves, (550, -100), Daniel Craig, [-443.  -72.], 1, 0.9748813000041991
sub-17, trial29, 18, Ryan Reynolds, ID18_IM01.bmp, (300, 300), Keanu Reeves, (550, -100), Leonardo DiCaprio, (0, -400), Ben Stiller, (-300, 300), Justin Timberlake, (-550, -100), familiar face, [ 22. -92.], 1, 0.9973528999835253
sub-17, trial43, 17, Ryan Gosling, ID17_IM02.bmp, (-550, -100), Leonardo DiCaprio, (0, -400), Justin Timberlake, (300, 300), Brad Pitt, (550, -100), Robert Pattinson, (-300, 300), idk, [51. 63.], 0, 0.6035800999961793
sub-17, trial65, 10, Keanu Reeves, ID10_IM04.bmp, (-550, -100), Matt Damon, (-300, 300), Elijah Wood, (550, -100), Daniel Craig, (300, 300), Brad Pitt, (0, -400), Keanu Reeves, [-482.  -79.], 1, 0.8654808999272063
